Reaction,Complexes
13PPDH,GMET_RS05235-MONOMER OR GMET_RS05275-MONOMER
2AGPEAT120,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPEAT140,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPEAT141,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPEAT160,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPEAT161,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPEAT180,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPEAT181,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPGAT120,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPGAT140,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPGAT141,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPGAT160,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPGAT161,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPGAT180,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2AGPGAT181,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
2OBUTtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
3HAD100,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD120,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD121,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD140,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD141,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD160,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD161,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD180,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD181,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD40,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD60,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HAD80,GMET_RS11865-MONOMER OR GMET_RS08540-MONOMER
3HOPCD,GMET_RS11095-MONOMER OR GMET_RS08640-MONOMER OR GMET_RS11435-MONOMER OR GMET_RS10455-MONOMER
3MBt2pp,GMET_RS15200-MONOMER OR GMET_RS03705-MONOMER OR GMET_RS16480-MONOMER
3MBt4pp,GMET_RS15200-MONOMER OR GMET_RS03705-MONOMER OR GMET_RS16480-MONOMER
3MBtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
3MMD,GMET_RS03010-MONOMER_mod_mg2(1)_mod_mn2(1)
3OAR100,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR120,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR121,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR140,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR141,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR160,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR161,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR180,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR181,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR40,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR60,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAR80,GMET_RS08525-MONOMER OR GMET_RS08050-MONOMER
3OAS100,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS120,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS121,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS140,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS141,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS160,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS161,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS180,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS181,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS60,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
3OAS80,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
4HBALDtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
4HBAtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
4HBCOAH,GMET_RS11155-MONOMER
4HBZR,CPLX_4HBZR-0
4HBZtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
5HBZIDS2,GMET_RS02355-MONOMER
A5PISO,GMET_RS06435-MONOMER
AACPS1,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
AACPS2,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
AACPS3,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
AACPS4,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
AACPS5,GMET_RS00430-MONOMER_mod_mg2(1) OR GMET_RS08105-MONOMER
AACPS6,GMET_RS08105-MONOMER OR GMET_RS00430-MONOMER_mod_mg2(1)
AACPS7,GMET_RS08105-MONOMER OR GMET_RS00430-MONOMER_mod_mg2(1)
AACPS8,GMET_RS08105-MONOMER OR GMET_RS00430-MONOMER_mod_mg2(1)
AACPS9,GMET_RS08105-MONOMER OR GMET_RS00430-MONOMER_mod_mg2(1)
