Reaction	Complexes
2H3MBDH	LLMG_RS05745-MONOMER
2H3MPDH	LLMG_RS05745-MONOMER
2HXICDH	LLMG_RS05745-MONOMER
2S6HCCi	LLMG_RS09160-MONOMER_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1)
AALDH	LLMG_RS09975-MONOMER
AB6PGH	LLMG_RS02245-MONOMER OR LLMG_RS07345-MONOMER
ACACT1r	LLMG_RS04745-MONOMER
ACALD	LLMG_RS12215-MONOMER_mod_fe2(1)
ACCOAC	CPLX_ACCOAC-0 OR CPLX_ACCOAC-1
ACGALpts	CPLX_SBTpts-0
ACGAMT	LLMG_RS09905-MONOMER_mod_mg2(1)
ACGApts	CPLX_SBTpts-0 OR CPLX_SBTpts-0
ACGK	LLMG_RS08820-MONOMER_mod_mg2(1)
ACHBS	LLMG_RS06630-MONOMER
ACKILE	LLMG_RS11480-MONOMER OR LLMG_RS11485-MONOMER_mod_mg2(1)
ACKLEU	LLMG_RS11480-MONOMER OR LLMG_RS11485-MONOMER_mod_mg2(1)
ACKVAL	LLMG_RS11480-MONOMER OR LLMG_RS11485-MONOMER_mod_mg2(1)
ACKr	LLMG_RS11480-MONOMER OR LLMG_RS11485-MONOMER_mod_mg2(1)
ACLDC	LLMG_RS07390-MONOMER OR LLMG_RS06465-MONOMER
ACLS	LLMG_RS06480-MONOMER OR LLMG_RS06485-MONOMER OR LLMG_RS06470-MONOMER_mod_pydx5p(1) OR LLMG_RS06630-MONOMER
ACOATA	LLMG_RS08965-MONOMER
ACODA_1	LLMG_RS02810-MONOMER_mod_zn2(1)
ACONT	LLMG_RS03320-MONOMER_mod_4fe4s(1)
ACOTA	LLMG_RS08825-MONOMER_mod_pydx5p(1)
ACPS2	CPLX_ACPS2-0
ACPSc	LLMG_RS02035-MONOMER OR LLMG_RS00655-MONOMER
ACTD	LLMG_RS08260-MONOMER
ADA	LLMG_RS09230-MONOMER_mod_zn2(2) OR LLMG_RS01565-MONOMER
ADADir	LLMG_RS03940-MONOMER_mod_mg2(1)
ADCL	CPLX_ADCL-0
ADCS	CPLX_ADCL-0
ADK1	LLMG_RS11835-MONOMER_mod_mg2(1)
ADK2	LLMG_RS11835-MONOMER_mod_mg2(1)
ADPDS	LLMG_RS01525-MONOMER
ADPRDP	LLMG_RS10355-MONOMER OR LLMG_RS10755-MONOMER
ADPT	LLMG_RS03160-MONOMER_mod_mg2(1) OR LLMG_RS03160-MONOMER_mod_mn2(1)
