,value
Rv0143c,MONOMER
Rv2498c,MONOMER
Rv2970c,MONOMER
Rv0573c,MONOMER
Rv3413c,MONOMER
Rv1110,MONOMER
Rv3891c,MONOMER
Rv1553,MONOMER
Rv1994c,MONOMER
Rv0127,MONOMER
Rv2943,MONOMER
Rv0556,MONOMER
Rv3390,MONOMER
Rv1092c,MONOMER
Rv3875,MONOMER
Rv1536,MONOMER
Rv1978,MONOMER
Rv0109,MONOMER
Rv2923c,MONOMER
Rv0538,MONOMER
Rv3370c,MONOMER
Rv1072,MONOMER
Rv0971c,MONOMER
Rv3858c,MONOMER
Rv1517,MONOMER
Rv1960c,MONOMER
Rv2440c,MONOMER
Rv0087,MONOMER
Rv2906c,MONOMER
Rv3349c,MONOMER
Rv1042c,MONOMER
Rv0949,MONOMER
Rv3838c,MONOMER
Rv1492,MONOMER
Rv1935c,MONOMER
Rv2417c,MONOMER
Rv0071,MONOMER
Rv2886c,MONOMER
Rv0505c,MONOMER
Rv3329,MONOMER
Rv1027c,MONOMER
Rv3815c,MONOMER
Rv1916,MONOMER
Rv2395,MONOMER
Rv0052,MONOMER
Rv2868c,MONOMER
Rv0485,MONOMER
Rv3311,MONOMER
Rv1010,MONOMER
Rv0912,MONOMER
Rv3779,MONOMER
Rv1892,MONOMER
Rv2378c,MONOMER
Rv0033,MONOMER
Rv2851c,MONOMER
Rv0464c,MONOMER
Rv3293,MONOMER
Rv0989c,MONOMER
Rv0892,MONOMER
Rv3760,MONOMER
Rv1867,MONOMER
Rv2354,MONOMER
Rv0010c,MONOMER
Rv0446c,MONOMER
Rv3273,MONOMER
Rv0871,MONOMER
Rv3741c,MONOMER
Rv1421,MONOMER
Rv1851,MONOMER
Rv2334,MONOMER
Rv2794c,MONOMER
Rv0426c,MONOMER
Rv3249c,MONOMER
Rv0852,MONOMER
Rv3723,MONOMER
Rv1403c,MONOMER
Rv1838c,MONOMER
Rv0408,MONOMER
Rv2781c,MONOMER
Rv3231c,MONOMER
Rv0832,MONOMER
Rv3705c,MONOMER
Rv1387,MONOMER
Rv1819c,MONOMER
Rv2297,MONOMER
Rv1816,MONOMER
Rv2291,MONOMER
Rv0386,MONOMER
Rv2756c,MONOMER
Rv3209,MONOMER
Rv0811c,MONOMER
Rv3685c,MONOMER
Rv1362c,MONOMER
Rv1797,MONOMER
Rv2266,MONOMER
Rv2737A,MONOMER
Rv3194c,MONOMER
Rv0791c,MONOMER
Rv3668c,MONOMER
Rv1339,MONOMER
Rv1779c,MONOMER
Rv2238c,MONOMER
Rv0344c,MONOMER
Rv2718c,MONOMER
Rv3171c,MONOMER
Rv0771,MONOMER
Rv3636,MONOMER
Rv1317c,MONOMER
Rv1759c,MONOMER
Rv2223c,MONOMER
Rv0324,MONOMER
Rv2696c,MONOMER
Rv3154,MONOMER
Rv0753c,MONOMER
Rv3618,MONOMER
Rv1299,MONOMER
Rv2208,MONOMER
Rv0307c,MONOMER
Rv2677c,MONOMER
Rv3137,MONOMER
Rv0733,MONOMER
Rv3600c,MONOMER
Rv1714,MONOMER
Rv2188c,MONOMER
Rv0288,MONOMER
Rv2653c,MONOMER
Rv3116,MONOMER
Rv0716,MONOMER
Rv3582c,MONOMER
Rv1261c,MONOMER
Rv1695,MONOMER
Rv2169c,MONOMER
Rv0271c,MONOMER
Rv2626c,MONOMER
Rv3098A,MONOMER
Rv0700,MONOMER
Rv3557c,MONOMER
Rv1243c,MONOMER
Rv2144c,MONOMER
Rv0246,MONOMER
Rv2608,MONOMER
Rv3079c,MONOMER
Rv0679c,MONOMER
Rv3524,MONOMER
Rv1224,MONOMER
Rv1652,MONOMER
Rv2123,MONOMER
Rv0229c,MONOMER
Rv2592c,MONOMER
Rv3057c,MONOMER
Rv0662c,MONOMER
Rv1208,MONOMER
Rv1635c,MONOMER
Rv2101,MONOMER
Rv0213c,MONOMER
Rv2575,MONOMER
Rv3039c,MONOMER
Rv0646c,MONOMER
Rv3483c,MONOMER
Rv1187,MONOMER
Rv1618,MONOMER
Rv2072c,MONOMER
Rv0192A,MONOMER
Rv2552c,MONOMER
Rv3022A,MONOMER
Rv0626,MONOMER
Rv3463,MONOMER
Rv1165,MONOMER
Rv1602,MONOMER
Rv2056c,MONOMER
Rv0173,MONOMER
Rv2535c,MONOMER
Rv3003c,MONOMER
Rv0604,MONOMER
Rv3447c,MONOMER
Rv1147,MONOMER
Rv1583c,MONOMER
Rv2034,MONOMER
Rv0157,MONOMER
Rv2512c,MONOMER
Rv2985,MONOMER
Rv0588,MONOMER
Rv3430c,MONOMER
Rv1127c,MONOMER
Rv3910,MONOMER
Rv1566c,MONOMER
Rv2011c,MONOMER
Rv0139,MONOMER
Rv2495c,MONOMER
Rv2967c,MONOMER
Rv0569,MONOMER
Rv3409c,MONOMER
Rv1107c,MONOMER
Rv3888c,MONOMER
Rv1550,MONOMER
Rv1991A,MONOMER
Rv2473,MONOMER
Rv0124,MONOMER
Rv2940c,MONOMER
Rv0553,MONOMER
Rv3387,MONOMER
Rv1089A,MONOMER
Rv3872,MONOMER
Rv1533,MONOMER
Rv1973,MONOMER
Rv2921c,MONOMER
Rv0535,MONOMER
Rv3367,MONOMER
Rv1068c,MONOMER
Rv0968,MONOMER
Rv3854c,MONOMER
Rv1512,MONOMER
Rv1955,MONOMER
Rv2437,MONOMER
Rv0084,MONOMER
Rv2903c,MONOMER
Rv0519c,MONOMER
Rv3346c,MONOMER
Rv1039c,MONOMER
Rv0945,MONOMER
Rv3834c,MONOMER
Rv1489A,MONOMER
Rv1932,MONOMER
Rv2410c,MONOMER
Rv0068,MONOMER
Rv2883c,MONOMER
Rv0502,MONOMER
Rv3325,MONOMER
Rv1024,MONOMER
Rv0927c,MONOMER
Rv3812,MONOMER
Rv1470,MONOMER
Rv1912c,MONOMER
Rv2392,MONOMER
Rv0048c,MONOMER
Rv2865,MONOMER
Rv0480c,MONOMER
Rv3308,MONOMER
Rv1007c,MONOMER
Rv0907,MONOMER
Rv3774,MONOMER
Rv1453,MONOMER
Rv1885c,MONOMER
Rv2374c,MONOMER
Rv0024,MONOMER
Rv2848c,MONOMER
Rv0643c,MONOMER
Rv0461,MONOMER
Rv3799c,MONOMER
Rv3289c,MONOMER
Rv0470c,MONOMER
Rv0889c,MONOMER
Rv3280,MONOMER
Rv1437,MONOMER
Rv2245,MONOMER
Rv1864c,MONOMER
Rv1484,MONOMER
Rv2351c,MONOMER
Rv1141c,MONOMER
Rv0007,MONOMER
Rv3801c,MONOMER
Rv2831,MONOMER
Rv0533c,MONOMER
Rv0443,MONOMER
Rv3400,MONOMER
Rv3269,MONOMER
Rv2246,MONOMER
Rv0868c,MONOMER
Rv2006,MONOMER
Rv3738c,MONOMER
Rv1142c,MONOMER
Rv1418,MONOMER
Rv0642c,MONOMER
Rv2330c,MONOMER
Rv3775,MONOMER
Rv2791c,MONOMER
Rv0161,MONOMER
Rv0422c,MONOMER
Rv2524c,MONOMER
Rv3245c,MONOMER
Rv2243,MONOMER
Rv3720,MONOMER
Rv1483,MONOMER
Rv1400c,MONOMER
Rv1834,MONOMER
Rv2310,MONOMER
Rv0404,MONOMER
Rv2778c,MONOMER
Rv3227,MONOMER
Rv0829,MONOMER
Rv3698,MONOMER
Rv1384,MONOMER
Rv1812c,MONOMER
Rv0382c,MONOMER
Rv2751,MONOMER
Rv3207c,MONOMER
Rv0806c,MONOMER
Rv3682,MONOMER
Rv1359,MONOMER
Rv1794,MONOMER
Rv2263,MONOMER
Rv0359,MONOMER
Rv2733c,MONOMER
Rv3191c,MONOMER
Rv0787,MONOMER
Rv3657c,MONOMER
Rv1332,MONOMER
Rv1776c,MONOMER
Rv2236c,MONOMER
Rv0341,MONOMER
Rv2715,MONOMER
Rv3168,MONOMER
Rv0768,MONOMER
Rv3632,MONOMER
Rv1313c,MONOMER
Rv1754c,MONOMER
Rv2220,MONOMER
Rv0320,MONOMER
Rv2693c,MONOMER
Rv0636,MONOMER
Rv3151,MONOMER
Rv0637,MONOMER
Rv0749A,MONOMER
Rv2509,MONOMER
Rv3615c,MONOMER
Rv0635,MONOMER
Rv1296,MONOMER
Rv1735c,MONOMER
Rv2204c,MONOMER
Rv0304c,MONOMER
Rv2672,MONOMER
Rv3135,MONOMER
Rv0730,MONOMER
Rv3597c,MONOMER
Rv1279,MONOMER
Rv1710,MONOMER
Rv2183c,MONOMER
Rv3792,MONOMER
Rv0285,MONOMER
Rv3545c,MONOMER
Rv2650c,MONOMER
Rv3398c,MONOMER
Rv3112,MONOMER
Rv2954c,MONOMER
Rv0713,MONOMER
Rv2247,MONOMER
Rv3579c,MONOMER
Rv1349,MONOMER
Rv1689,MONOMER
Rv1106c,MONOMER
Rv2165c,MONOMER
Rv3824c,MONOMER
Rv0266c,MONOMER
Rv3782,MONOMER
Rv2623,MONOMER
Rv3542c,MONOMER
Rv3093c,MONOMER
Rv3339c,MONOMER
Rv0694,MONOMER
Rv2951c,MONOMER
Rv3554,MONOMER
Rv2156c,MONOMER
Rv2141c,MONOMER
Rv1336,MONOMER
Rv0242c,MONOMER
Rv1071c,MONOMER
Rv2605c,MONOMER
Rv3809c,MONOMER
Rv3075c,MONOMER
Rv3571,MONOMER
Rv0676c,MONOMER
Rv3537,MONOMER
Rv3520c,MONOMER
Rv3252c,MONOMER
Rv1221,MONOMER
Rv2928,MONOMER
Rv1649,MONOMER
Rv2152c,MONOMER
Rv2120c,MONOMER
Rv1315,MONOMER
Rv0226c,MONOMER
Rv0896,MONOMER
Rv2589,MONOMER
Rv3805c,MONOMER
Rv3053c,MONOMER
Rv3568c,MONOMER
Rv0659c,MONOMER
Rv3534c,MONOMER
Rv3497c,MONOMER
Rv2981c,MONOMER
Rv1202,MONOMER
Rv2673,MONOMER
Rv1631,MONOMER
Rv1886c,MONOMER
Rv2094c,MONOMER
Rv1248c,MONOMER
Rv0208c,MONOMER
Rv0467,MONOMER
Rv2571c,MONOMER
Rv3800c,MONOMER
Rv3035,MONOMER
Rv3560c,MONOMER
Rv0641,MONOMER
Rv3515c,MONOMER
Rv3480c,MONOMER
Rv2958c,MONOMER
