Reaction	Complexes
14GLUCANabcpp	CPLX_14GLUCANabcpp-0
2AGPA120tipp	ALW85_RS03155-MONOMER
2AGPA140tipp	ALW85_RS03155-MONOMER
2AGPA141tipp	ALW85_RS03155-MONOMER
2AGPA160tipp	ALW85_RS03155-MONOMER
2AGPA161tipp	ALW85_RS03155-MONOMER
2AGPA180tipp	ALW85_RS03155-MONOMER
2AGPA181tipp	ALW85_RS03155-MONOMER
2AGPE120tipp	ALW85_RS03155-MONOMER
2AGPE140tipp	ALW85_RS03155-MONOMER
2AGPE141tipp	ALW85_RS03155-MONOMER
2AGPE160tipp	ALW85_RS03155-MONOMER
2AGPE161tipp	ALW85_RS03155-MONOMER
2AGPE180tipp	ALW85_RS03155-MONOMER
2AGPE181tipp	ALW85_RS03155-MONOMER
2AGPEAT120	ALW85_RS12630-MONOMER
2AGPEAT140	ALW85_RS12630-MONOMER
2AGPEAT141	ALW85_RS12630-MONOMER
2AGPEAT160	ALW85_RS12630-MONOMER
2AGPEAT161	ALW85_RS12630-MONOMER
2AGPEAT180	ALW85_RS12630-MONOMER
2AGPEAT181	ALW85_RS12630-MONOMER
2AGPG120tipp	ALW85_RS03155-MONOMER
2AGPG140tipp	ALW85_RS03155-MONOMER
2AGPG141tipp	ALW85_RS03155-MONOMER
2AGPG160tipp	ALW85_RS03155-MONOMER
2AGPG161tipp	ALW85_RS03155-MONOMER
2AGPG180tipp	ALW85_RS03155-MONOMER
2AGPG181tipp	ALW85_RS03155-MONOMER
2AGPGAT120	ALW85_RS12630-MONOMER
2AGPGAT140	ALW85_RS12630-MONOMER
2AGPGAT141	ALW85_RS12630-MONOMER
2AGPGAT160	ALW85_RS12630-MONOMER
2AGPGAT161	ALW85_RS12630-MONOMER
2AGPGAT180	ALW85_RS12630-MONOMER
2AGPGAT181	ALW85_RS12630-MONOMER
3HAD100	ALW85_RS08890-MONOMER
3HAD120	ALW85_RS08890-MONOMER
3HAD121	ALW85_RS08890-MONOMER
3HAD140	ALW85_RS08890-MONOMER
3HAD141	ALW85_RS08890-MONOMER
3HAD160	ALW85_RS08890-MONOMER
3HAD161	ALW85_RS08890-MONOMER
3HAD180	ALW85_RS08890-MONOMER
3HAD181	ALW85_RS08890-MONOMER
3HAD40	ALW85_RS08890-MONOMER
3HAD60	ALW85_RS08890-MONOMER
3HAD80	ALW85_RS08890-MONOMER
3HBZCT	ALW85_RS04355-MONOMER
3OAR100	ALW85_RS08600-MONOMER
3OAR120	ALW85_RS08600-MONOMER
3OAR121	ALW85_RS08600-MONOMER
3OAR140	ALW85_RS08600-MONOMER
3OAR141	ALW85_RS08600-MONOMER
3OAR160	ALW85_RS08600-MONOMER
3OAR161	ALW85_RS08600-MONOMER
3OAR180	ALW85_RS08600-MONOMER
3OAR181	ALW85_RS08600-MONOMER
3OAR40	ALW85_RS08600-MONOMER
3OAR60	ALW85_RS08600-MONOMER
3OAR80	ALW85_RS08600-MONOMER
3OAS100	ALW85_RS08610-MONOMER
3OAS120	ALW85_RS08610-MONOMER
3OAS121	ALW85_RS08610-MONOMER
3OAS140	ALW85_RS08610-MONOMER
3OAS141	ALW85_RS08610-MONOMER
3OAS160	ALW85_RS08610-MONOMER
3OAS161	ALW85_RS08610-MONOMER
3OAS180	ALW85_RS08610-MONOMER
3OAS181	ALW85_RS08610-MONOMER
3OAS60	ALW85_RS08610-MONOMER
3OAS80	ALW85_RS08610-MONOMER
3OXCOAT	ALW85_RS07980-MONOMER OR ALW85_RS11820-MONOMER
3PEPTabcpp	ALW85_RS12935-MONOMER
4HTHRS	ALW85_RS12355-MONOMER_mod_pydx5p(1)
4PCPpp	ALW85_RS12290-MONOMER OR ALW85_RS12325-MONOMER
4PEPTabcpp	ALW85_RS12935-MONOMER
AACPS1	ALW85_RS12630-MONOMER
AACPS2	ALW85_RS12630-MONOMER
AACPS3	ALW85_RS12630-MONOMER
AACPS4	ALW85_RS12630-MONOMER
AACPS5	ALW85_RS12630-MONOMER
AACPS6	ALW85_RS12630-MONOMER
AACPS7	ALW85_RS12630-MONOMER
AACPS8	ALW85_RS12630-MONOMER
AACPS9	ALW85_RS12630-MONOMER
ABTA	ALW85_RS07530-MONOMER_mod_pydx5p(1) OR ALW85_RS07450-MONOMER_mod_pydx5p(1)
ACACT1r	ALW85_RS11820-MONOMER OR ALW85_RS07980-MONOMER
ACACT2r	ALW85_RS11820-MONOMER OR ALW85_RS07980-MONOMER
ACACT3r	ALW85_RS11820-MONOMER OR ALW85_RS07980-MONOMER
ACACT4r	ALW85_RS11820-MONOMER OR ALW85_RS07980-MONOMER
ACACT5r	ALW85_RS11820-MONOMER OR ALW85_RS07980-MONOMER
ACACT6r	ALW85_RS11820-MONOMER OR ALW85_RS07980-MONOMER
ACACT7r	ALW85_RS11820-MONOMER OR ALW85_RS07980-MONOMER
ACACT8r	ALW85_RS11820-MONOMER OR ALW85_RS07980-MONOMER
ACCOAC	CPLX_ACCOAC-0_mod_btn(1)
ACCOAL	ALW85_RS12210-MONOMER
ACGK	ALW85_RS05240-MONOMER
ACGS	ALW85_RS04065-MONOMER
ACHBS	CPLX_ACHBS-0
ACKr	ALW85_RS11140-MONOMER
ACLS	CPLX_ACHBS-0
ACOAD1f	ALW85_RS08085-MONOMER
ACOAD2f	ALW85_RS08085-MONOMER
