,value
PSLT001,MONOMER
PSLT002,MONOMER
PSLT003,MONOMER
PSLT004,MONOMER
PSLT005,MONOMER
PSLT006,MONOMER
PSLT007,MONOMER
PSLT008,MONOMER
PSLT009,MONOMER
PSLT010,MONOMER
PSLT011,MONOMER
PSLT012,MONOMER
PSLT013,MONOMER
PSLT014,MONOMER
PSLT015,MONOMER
PSLT016,MONOMER
PSLT017,MONOMER
PSLT018,MONOMER
PSLT019,MONOMER
PSLT020,MONOMER
PSLT023,MONOMER
PSLT024,MONOMER
PSLT025,MONOMER
PSLT026,MONOMER
PSLT027,MONOMER
PSLT028,MONOMER
PSLT029,MONOMER
PSLT030,MONOMER
PSLT031,MONOMER
PSLT032,MONOMER
PSLT033,MONOMER
PSLT034,MONOMER
PSLT035,MONOMER
PSLT036,MONOMER
PSLT037,MONOMER
PSLT038,MONOMER
PSLT039,MONOMER
PSLT040,MONOMER
PSLT041,MONOMER
PSLT042,MONOMER
PSLT043,MONOMER
PSLT044,MONOMER
PSLT045,MONOMER
PSLT046,MONOMER
PSLT047,MONOMER
PSLT048,MONOMER
PSLT049,MONOMER
PSLT050,MONOMER
PSLT051,MONOMER
PSLT052,MONOMER
PSLT053,MONOMER
PSLT054,MONOMER
PSLT055,MONOMER
PSLT056,MONOMER
PSLT057,MONOMER
PSLT059,MONOMER
PSLT060,MONOMER
PSLT061,MONOMER
PSLT062,MONOMER
PSLT063,MONOMER
PSLT064,MONOMER
PSLT066,MONOMER
PSLT067,MONOMER
PSLT068,MONOMER
PSLT069,MONOMER
PSLT070,MONOMER
PSLT072,MONOMER
PSLT073,MONOMER
PSLT074,RNA
PSLT075,MONOMER
PSLT076,MONOMER
PSLT077,MONOMER
PSLT078,MONOMER
PSLT079,MONOMER
PSLT080,MONOMER
PSLT081,MONOMER
PSLT082,MONOMER
PSLT083,MONOMER
PSLT084,MONOMER
PSLT085,MONOMER
PSLT087,MONOMER
PSLT088,MONOMER
PSLT089,MONOMER
PSLT091,MONOMER
PSLT092,MONOMER
PSLT093,MONOMER
PSLT094,MONOMER
PSLT095,MONOMER
PSLT096,MONOMER
PSLT097,MONOMER
PSLT098,MONOMER
PSLT099,MONOMER
PSLT100,MONOMER
PSLT101,MONOMER
PSLT102,MONOMER
PSLT103,MONOMER
PSLT104,MONOMER
PSLT105,MONOMER
PSLT106,MONOMER
PSLT107,MONOMER
PSLT108,MONOMER
PSLT110,MONOMER
PSLT111,MONOMER
STM0001,MONOMER
STM0002,MONOMER
STM0003,MONOMER
STM0004,MONOMER
STM0005,MONOMER
STM0006,MONOMER
STM0007,MONOMER
STM0008,MONOMER
STM0009,MONOMER
STM0010,MONOMER
STM0011,MONOMER
STM0012,MONOMER
STM0013,MONOMER
STM0014,MONOMER
STM0015,MONOMER
STM0016,MONOMER
STM0017,MONOMER
STM0018,MONOMER
STM0019,MONOMER
STM0020,MONOMER
STM0021,MONOMER
STM0022,MONOMER
STM0023,MONOMER
STM0024,MONOMER
STM0025,MONOMER
STM0026,MONOMER
STM0027,MONOMER
STM0028,MONOMER
STM0029,MONOMER
STM0030,MONOMER
STM0031,MONOMER
STM0032,MONOMER
STM0033,MONOMER
STM0034,MONOMER
STM0035,MONOMER
STM0036,MONOMER
STM0037,MONOMER
STM0038,MONOMER
STM0039,MONOMER
STM0040,MONOMER
STM0041,MONOMER
STM0042,MONOMER
STM0043,MONOMER
STM0044,MONOMER
STM0045,MONOMER
STM0046,MONOMER
STM0047,MONOMER
STM0048,MONOMER
STM0049,MONOMER
STM0050,MONOMER
STM0051,MONOMER
STM0052,MONOMER
STM0053,MONOMER
STM0054,MONOMER
STM0055,MONOMER
STM0056,MONOMER
STM0057,MONOMER
STM0058,MONOMER
STM0059,MONOMER
STM0060,MONOMER
STM0061,MONOMER
STM0062,MONOMER
STM0063,MONOMER
STM0064,MONOMER
STM0065,MONOMER
STM0066,MONOMER
STM0067,MONOMER
STM0068,MONOMER
STM0069,MONOMER
STM0070,MONOMER
STM0071,MONOMER
STM0072,MONOMER
STM0073,MONOMER
STM0074,MONOMER
STM0075,MONOMER
STM0076,MONOMER
STM0077,MONOMER
STM0078,MONOMER
STM0079,MONOMER
STM0080,MONOMER
STM0081,MONOMER
STM0082,MONOMER
STM0083,MONOMER
STM0084,MONOMER
STM0085,MONOMER
STM0086,MONOMER
STM0087,MONOMER
STM0088,MONOMER
STM0089,MONOMER
STM0090,MONOMER
STM0091,MONOMER
STM0092,MONOMER
STM0093,MONOMER
STM0094,MONOMER
STM0095,MONOMER
STM0096,MONOMER
STM0097,MONOMER
STM0098,MONOMER
STM0099,MONOMER
STM0100,MONOMER
STM0101,MONOMER
STM0102,MONOMER
STM0103,MONOMER
STM0104,MONOMER
STM0105,MONOMER
STM0106,MONOMER
STM0107,MONOMER
STM0108,MONOMER
STM0109,MONOMER
STM0110,MONOMER
STM0111,MONOMER
STM0112,MONOMER
STM0113,MONOMER
STM0114,MONOMER
STM0115,MONOMER
STM0116,MONOMER
STM0117,MONOMER
STM0118,MONOMER
STM0119,MONOMER
STM0120,MONOMER
STM0121,MONOMER
STM0122,MONOMER
STM0123,MONOMER
STM0124,MONOMER
STM0125,MONOMER
STM0126,MONOMER
STM0127,MONOMER
STM0128,MONOMER
STM0129,MONOMER
STM0130,MONOMER
STM0131,MONOMER
STM0132,MONOMER
STM0133,MONOMER
STM0134,MONOMER
STM0135,MONOMER
STM0136,MONOMER
STM0137,MONOMER
STM0138,MONOMER
STM0139,MONOMER
STM0140,MONOMER
STM0141,MONOMER
STM0142,MONOMER
