generic_component	enzymes
generic_16Sm4Cm1402	STM0120-MONOMER
generic_16s_rRNAs	RNA_STM0249,RNA_STM2659,RNA_STM3398,RNA_STM3889,RNA_STM3988,RNA_STM4132,RNA_STM4177
generic_23s_rRNAs	RNA_STM0252,RNA_STM2657,RNA_STM3396,RNA_STM3891,RNA_STM3991,RNA_STM4135,RNA_STM4179
generic_5s_rRNAs	RNA_STM0253,RNA_STM2656,RNA_STM3393,RNA_STM3894,RNA_STM3992,RNA_STM4136,RNA_STM4180
generic_Dus	STM3384-MONOMER
generic_LYSINEaaRS	STM3040-MONOMER
generic_RF	STM1776-MONOMER,STM3041-MONOMER
generic_RNase	STM3734-MONOMER
generic_Tuf	STM4146-MONOMER
generic_fes_transfers_complex	STM0204-MONOMER
generic_trp_ligase	STM4508-MONOMER,STM3481-MONOMER
