,value
S0001,MONOMER
S0002,MONOMER
S0003,MONOMER
S0004,MONOMER
S0005,MONOMER
S0006,MONOMER
S0008,MONOMER
S0009,MONOMER
S0010,MONOMER
S0011,MONOMER
S0012,MONOMER
S0013,MONOMER
S0014,MONOMER
S0015,MONOMER
S0016,misc
S0017,MONOMER
S0018,MONOMER
S0019,MONOMER
S0020,MONOMER
S0021,MONOMER
S0022,MONOMER
S0023,MONOMER
S0024,MONOMER
S0025,MONOMER
S0026,MONOMER
S0027,MONOMER
S0028,MONOMER
S0029,MONOMER
S0030,MONOMER
S0031,MONOMER
S0032,MONOMER
S0033,MONOMER
S0034,MONOMER
S0035,MONOMER
S0036,MONOMER
S0037,MONOMER
S0038,MONOMER
S0039,MONOMER
S0040,MONOMER
S0042,MONOMER
S0043,MONOMER
S0044,MONOMER
S0045,MONOMER
S0046,MONOMER
S0047,MONOMER
S0048,MONOMER
S0049,MONOMER
S0050,MONOMER
S0051,MONOMER
S0052,MONOMER
S0053,MONOMER
S0054,MONOMER
S0055,MONOMER
S0056,MONOMER
S0057,MONOMER
S0058,MONOMER
S0059,MONOMER
S0060,MONOMER
S0061,MONOMER
S0062,MONOMER
S0063,MONOMER
S0064,MONOMER
S0065,MONOMER
S0066,MONOMER
S0067,MONOMER
S0068,MONOMER
S0069,MONOMER
S0070,MONOMER
S0071,MONOMER
S0072,MONOMER
S0073,MONOMER
S0074,MONOMER
S0075,MONOMER
S0076,MONOMER
S0077,MONOMER
S0078,MONOMER
S0079,MONOMER
S0080,MONOMER
S0081,MONOMER
S0082,MONOMER
S0083,MONOMER
S0084,MONOMER
S0085,MONOMER
S0086,MONOMER
S0087,MONOMER
S0088,MONOMER
S0089,MONOMER
S0090,MONOMER
S0091,MONOMER
S0092,MONOMER
S0093,MONOMER
S0094,MONOMER
S0095,MONOMER
S0096,MONOMER
S0097,MONOMER
S0098,MONOMER
S0099,MONOMER
S0100,MONOMER
S0101,MONOMER
S0102,MONOMER
S0103,MONOMER
S0104,MONOMER
S0105,MONOMER
S0107,MONOMER
S0108,MONOMER
S0109,MONOMER
S0110,MONOMER
S0111,MONOMER
S0112,MONOMER
S0113,MONOMER
S0114,MONOMER
S0115,MONOMER
S0117,MONOMER
S0118,MONOMER
S0119,MONOMER
S0120,MONOMER
S0121,MONOMER
S0122,MONOMER
S0123,MONOMER
S0124,MONOMER
S0125,MONOMER
S0126,MONOMER
S0127,MONOMER
S0128,MONOMER
S0129,MONOMER
S0130,MONOMER
S0131,MONOMER
S0132,MONOMER
S0133,MONOMER
S0134,MONOMER
S0136,MONOMER
S0137,MONOMER
S0138,MONOMER
S0139,MONOMER
S0140,MONOMER
S0141,MONOMER
S0142,MONOMER
S0143,MONOMER
S0144,MONOMER
S0145,MONOMER
S0146,MONOMER
S0147,MONOMER
S0148,MONOMER
S0149,MONOMER
S0150,MONOMER
S0151,MONOMER
S0152,MONOMER
S0153,MONOMER
S0154,MONOMER
S0155,MONOMER
S0156,MONOMER
S0158,MONOMER
S0159,MONOMER
S0160,MONOMER
S0161,MONOMER
S0162,MONOMER
S0163,MONOMER
S0164,MONOMER
S0165,MONOMER
S0166,MONOMER
S0167,MONOMER
S0168,MONOMER
S0169,MONOMER
S0170,MONOMER
S0171,MONOMER
S0172,MONOMER
S0173,MONOMER
S0174,MONOMER
S0175,MONOMER
S0176,MONOMER
S0177,MONOMER
S0178,MONOMER
S0179,MONOMER
S0180,MONOMER
S0181,MONOMER
S0182,MONOMER
S0183,MONOMER
S0184,MONOMER
S0185,MONOMER
S0186,MONOMER
S0187,MONOMER
S0188,MONOMER
S0189,MONOMER
S0190,MONOMER
S0191,MONOMER
S0192,MONOMER
S0193,MONOMER
S0194,rRNA
S0195,tRNA
S0196,tRNA
S0197,rRNA
S0198,rRNA
S0199,tRNA
S0200,MONOMER
S0201,MONOMER
S0202,MONOMER
S0203,MONOMER
S0204,MONOMER
S0205,MONOMER
S0206,MONOMER
S0207,MONOMER
S0208,MONOMER
S0209,MONOMER
S0210,tRNA
S0211,MONOMER
S0212,MONOMER
S0213,MONOMER
S0214,MONOMER
S0215,MONOMER
S0217,MONOMER
S0218,MONOMER
S0219,MONOMER
S0220,MONOMER
S0221,MONOMER
S0223,MONOMER
S0224,MONOMER
S0227,MONOMER
S0229,MONOMER
S0230,MONOMER
S0231,MONOMER
S0232,MONOMER
S0233,MONOMER
S0234,MONOMER
S0235,MONOMER
S0236,MONOMER
S0237,MONOMER
S0238,MONOMER
S0239,MONOMER
S0240,MONOMER
S0241,MONOMER
S0242,MONOMER
S0243,MONOMER
S0244,MONOMER
S0245,MONOMER
S0246,MONOMER
S0247,MONOMER
S0248,MONOMER
S0249,MONOMER
S0250,MONOMER
S0251,MONOMER
S0252,MONOMER
S0253,MONOMER
S0254,MONOMER
S0255,MONOMER
S0256,MONOMER
S0257,MONOMER
S0258,MONOMER
S0259,MONOMER
S0262,MONOMER
S0263,MONOMER
S0264,MONOMER
S0266,MONOMER
S0267,MONOMER
S0269,MONOMER
S0270,MONOMER
S0271,MONOMER
S0272,MONOMER
S0273,MONOMER
S0274,MONOMER
S0275,MONOMER
S0276,MONOMER
S0277,MONOMER
S0278,MONOMER
S0279,MONOMER
S0280,MONOMER
S0281,MONOMER
S0282,MONOMER
S0283,MONOMER
S0284,MONOMER
S0285,MONOMER
S0286,MONOMER
S0287,MONOMER
S0288,MONOMER
S0289,MONOMER
S0290,MONOMER
S0291,MONOMER
S0292,MONOMER
S0293,MONOMER
S0294,MONOMER
S0295,MONOMER
S0296,MONOMER
S0297,MONOMER
S0298,MONOMER
S0299,MONOMER
S0300,MONOMER
S0301,MONOMER
S0302,MONOMER
S0303,MONOMER
S0304,MONOMER
S0305,MONOMER
S0306,MONOMER
S0307,MONOMER
S0308,MONOMER
S0309,MONOMER
S0310,MONOMER
S0311,MONOMER
S0312,MONOMER
S0313,MONOMER
S0314,MONOMER
S0315,tRNA
S0316,MONOMER
S0317,MONOMER
S0318,MONOMER
S0319,MONOMER
