TU_id	replicon	genes	start	stop	tss	strand	rho_dependent	rnapol
TU220H-1903_from_SGL_RS12540-MONOMER	NC_000911.1,NC_000911.1	SGL_RS15280,SGL_RS15275	2878078	2879855		-	True	SGL_RS12540-MONOMER
TU220H-407_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS04205	491496	492059		+	True	SGL_RS12540-MONOMER
TU220H-2949_from_SGL_RS12540-MONOMER	SGL_RS19380	SGL_RS19380	1	150		-	True	SGL_RS12540-MONOMER
TU220H-676_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS06140	911357	912883		+	True	SGL_RS12540-MONOMER
TU220H-230_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS02930	228866	230566		+	True	SGL_RS12540-MONOMER
TU220H-1402_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS11445	2026227	2026538		+	True	SGL_RS12540-MONOMER
TU220H-2145_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS17045	3278122	3279135		-	True	SGL_RS12540-MONOMER
TU220H-974_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS08290	1367129	1369567		+	True	SGL_RS12540-MONOMER
TU220H-1378_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS11285	1993377	1994045		-	True	SGL_RS12540-MONOMER
TU220H-1113_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS09320	1596795	1597841		+	True	SGL_RS12540-MONOMER
TU220H-396_from_SGL_RS12540-MONOMER	NC_000911.1,NC_000911.1	SGL_RS04130,SGL_RS04125	473953	474432		-	True	SGL_RS12540-MONOMER
TU220H-2206_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS17505	3384151	3385590		+	True	SGL_RS12540-MONOMER
TU220H-1342_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS11035	1937474	1938310		+	True	SGL_RS12540-MONOMER
TU220H-83_from_SGL_RS12540-MONOMER	SGL_RS18575	SGL_RS18575	1	848		+	True	SGL_RS12540-MONOMER
TU220H-2363_from_SGL_RS12540-MONOMER	SGL_RS00320	SGL_RS00320	1	345		+	True	SGL_RS12540-MONOMER
TU220H-286_from_SGL_RS12540-MONOMER	NC_000911.1,NC_000911.1	SGL_RS03310,SGL_RS03305	305595	308076		+	True	SGL_RS12540-MONOMER
TU220H-817_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS07075	1111185	1111955		-	True	SGL_RS12540-MONOMER
TU220H-1008_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS08575	1429329	1430072		-	True	SGL_RS12540-MONOMER
TU220H-1330_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS10950	1920660	1921919		+	True	SGL_RS12540-MONOMER
TU220H-1232_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS10270	1776983	1777537		-	True	SGL_RS12540-MONOMER
TU220H-2866_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS04675	599062	599913		+	True	SGL_RS12540-MONOMER
TU220H-1431_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS11705	2084143	2084370		+	True	SGL_RS12540-MONOMER
TU220H-615_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS05665	820102	821352		-	True	SGL_RS12540-MONOMER
TU220H-875_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS07525	1215167	1215403		-	True	SGL_RS12540-MONOMER
TU220H-1063_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS08985	1522300	1522899		+	True	SGL_RS12540-MONOMER
TU220H-1612_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS13040	2397478	2399118		-	True	SGL_RS12540-MONOMER
TU220H-1180_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS09860	1695886	1696797		-	True	SGL_RS12540-MONOMER
TU220H-937_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS08025	1314909	1316063		-	True	SGL_RS12540-MONOMER
TU220H-2566_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS15325	2889265	2890320		-	True	SGL_RS12540-MONOMER
TU220H-554_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS05235	724492	725367		-	True	SGL_RS12540-MONOMER
TU220H-1732_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS13925	2583410	2584519		+	True	SGL_RS12540-MONOMER
TU220H-2425_from_SGL_RS12540-MONOMER	SGL_RS19320,SGL_RS18590,SGL_RS01515	SGL_RS19320,SGL_RS18590,SGL_RS01515	1	3366		+	True	SGL_RS12540-MONOMER
TU220H-1867_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS14990	2814730	2814924		-	True	SGL_RS12540-MONOMER
TU220H-2394_from_SGL_RS12540-MONOMER	SGL_RS00535	SGL_RS00535	1	291		-	True	SGL_RS12540-MONOMER
TU220H-2587_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS14665	2741674	2743125		-	True	SGL_RS12540-MONOMER
TU220H-132_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS02185	74498	74785		+	True	SGL_RS12540-MONOMER
TU220H-3_from_SGL_RS12540-MONOMER	SGL_RS00640	SGL_RS00640	1	429		-	True	SGL_RS12540-MONOMER
TU220H-710_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS06350	955805	956116		+	True	SGL_RS12540-MONOMER
TU220H-1963_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS15680	2966741	2967931		+	True	SGL_RS12540-MONOMER
TU220H-2697_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS11475	2032604	2032891		+	True	SGL_RS12540-MONOMER
TU220H-485_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS04765	618311	618694		-	True	SGL_RS12540-MONOMER
TU220H-334_from_SGL_RS12540-MONOMER	NC_000911.1,NC_000911.1	SGL_RS03665,SGL_RS03660	374646	376432		+	True	SGL_RS12540-MONOMER
TU220H-2611_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS13835	2568269	2568973		+	True	SGL_RS12540-MONOMER
TU220H-2539_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS16655	3191661	3192476		-	True	SGL_RS12540-MONOMER
TU220H-1558_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS12650	2292188	2294878		+	True	SGL_RS12540-MONOMER
TU220H-2106_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS16685	3200940	3201452		-	True	SGL_RS12540-MONOMER
TU220H-1288_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS10610	1845795	1846865		-	True	SGL_RS12540-MONOMER
TU220H-1118_from_SGL_RS12540-MONOMER	NC_000911.1,NC_000911.1	SGL_RS09350,SGL_RS09345	1602482	1604159		-	True	SGL_RS12540-MONOMER
TU220H-2209_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS17520	3386777	3388465		+	True	SGL_RS12540-MONOMER
TU220H-2767_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS08795	1477647	1478891		-	True	SGL_RS12540-MONOMER
TU220H-1641_from_SGL_RS12540-MONOMER	NC_000911.1,NC_000911.1	SGL_RS13245,SGL_RS13240	2437235	2438779		-	True	SGL_RS12540-MONOMER
TU220H-2184_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS17340	3345861	3346817		-	True	SGL_RS12540-MONOMER
TU220H-2528_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS17075	3283467	3284165		+	True	SGL_RS12540-MONOMER
TU220H-675_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS06135	909603	910994		-	True	SGL_RS12540-MONOMER
TU220H-2805_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS07635	1233784	1234512		+	True	SGL_RS12540-MONOMER
TU220H-2176_from_SGL_RS12540-MONOMER	NC_000911.1,NC_000911.1,NC_000911.1	SGL_RS17280,SGL_RS17275,SGL_RS17270	3330281	3332821		+	True	SGL_RS12540-MONOMER
TU220H-980_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS08355	1383339	1383755		-	True	SGL_RS12540-MONOMER
TU220H-1775_from_SGL_RS12540-MONOMER	NC_000911.1,NC_000911.1	SGL_RS14290,SGL_RS14285	2659080	2660804		+	True	SGL_RS12540-MONOMER
TU220H-770_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS06695	1031202	1033787		+	True	SGL_RS12540-MONOMER
TU220H-1735_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS13940	2586572	2588650		-	True	SGL_RS12540-MONOMER
TU220H-2285_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS18050	3508111	3509001		+	True	SGL_RS12540-MONOMER
TU220H-82_from_SGL_RS12540-MONOMER	SGL_RS01335	SGL_RS01335	1	1479		+	True	SGL_RS12540-MONOMER
TU220H-285_from_SGL_RS12540-MONOMER	NC_000911.1	SGL_RS03300	303939	305546		+	True	SGL_RS12540-MONOMER
TU220H-2330_from_SGL_RS12540-MONOMER	SGL_RS00030,SGL_RS00025	SGL_RS00030,SGL_RS00025	1	555		-	True	SGL_RS12540-MONOMER
