Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Interrupted?,"Gene products (complexes, polypeptides, and RNAs)",replicon
G6119,b0235,253478,253685,G6119-MONOMER,,G6119-MONOMER,NC_000913.2
G6246,b0446,466635,467454,G6246-MONOMER,,G6246-MONOMER,NC_000913.2
G0-16670,b4654,4360213,4360376,G0-16670-MONOMER,,,NC_000913.2
EG10634,b0675,698796,699549,EG10634-MONOMER,,EG10634-MONOMER,NC_000913.2
G0-16653,b4644,2773566,2773838,G0-16653-MONOMER,,G0-16653-MONOMER,NC_000913.2
EG10805,b4245,4469482,4470418,EG10805-MONOMER,,ASPCARBTRANS-CPLX,NC_000913.2
EG11778,b0691,715169,715820,EG11778-MONOMER,,EG11778-MONOMER,NC_000913.2
EG10794,b2312,2426742,2428260,EG10794-MONOMER,,PRPPAMIDOTRANS-CPLX,NC_000913.2
G7482,b2862,0,300,G7482-MONOMER,,G7482-MONOMER,b2862
EG10791,b2476,2594926,2595640,EG10791-MONOMER,,SAICARSYN-CPLX,NC_000913.2
G6686,b1362,1421224,1421668,G6686-MONOMER,,G6686-MONOMER,NC_000913.2
EG11314,b1131,1189838,1191209,EG11314-MONOMER,,CPLX0-7959,NC_000913.2
G6102,b0218,238745,239102,G6102-MONOMER,,G6102-MONOMER,NC_000913.2
EG10798,b2499,2619218,2620256,EG10798-MONOMER,,AIRS-CPLX,NC_000913.2
G0-16667,b4651,3766914,3767279,G0-16667-MONOMER,,,NC_000913.2
EG10792,b4005,4202664,4203954,EG10792-MONOMER,,GLYCRIBONUCSYN-MONOMER,NC_000913.2
G0-10614,b4627,265776,265998,G0-10614-MONOMER,,,NC_000913.2
EG11809,b1849,1928904,1930083,EG11809-MONOMER,,GARTRANSFORMYL2-MONOMER,NC_000913.2
EG10799,b2500,2620255,2620894,EG10799-MONOMER,,GART-MONOMER,NC_000913.2
EG10796,b0522,550749,551817,EG10796-MONOMER,,PURK-CPLX,NC_000913.2
EG10793,b0523,551813,552323,EG10793-MONOMER,,PURE-CPLX,NC_000913.2
EG10797,b2557,2689677,2693565,EG10797-MONOMER,,FGAMSYN-MONOMER,NC_000913.2
EG11279,b4246,4470421,4470556,EG11279-MONOMER,,EG11279-MONOMER,NC_000913.2
EG10808,b3642,3813149,3813791,EG10808-MONOMER,,OROPRIBTRANS-CPLX,NC_000913.2
EG11646,b2166,2256376,2257318,EG11646-MONOMER,,EG11646-MONOMER,NC_000913.2
G7486,b2867,3000635,3001514,G7486-MONOMER,,CPLX0-761,NC_000913.2
EG10806,b1062,1120783,1121830,EG10806-MONOMER,,DIHYDROOROT-CPLX,NC_000913.2
EG11702,b3996,4194925,4195699,EG11702-MONOMER,,CPLX0-7974,NC_000913.2
G7185,b2291,2406883,2407483,G7185-MONOMER,,CPLX0-7625,NC_000913.2
G7487,b2868,3001510,3001990,G7487-MONOMER,,CPLX0-761,NC_000913.2
EG10774,b1207,1260150,1261098,EG10774-MONOMER,,CPLX0-8299,NC_000913.2
EG12115,b4374,4606668,4607346,EG12115-MONOMER,,EG12115-MONOMER,NC_000913.2
EG10073,b0908,958034,959318,EG10073-MONOMER,,AROA-MONOMER,NC_000913.2
G7500,b2881,3019337,3022208,G7500-MONOMER,,CPLX0-1841,NC_000913.2
EG10082,b0388,405628,406153,EG10082-MONOMER,,AROL-MONOMER,NC_000913.2
G7485,b2866,2998366,3000625,G7485-MONOMER,,CPLX0-761,NC_000913.2
EG10077,b3281,3428041,3428860,EG10077-MONOMER,,AROE-MONOMER,NC_000913.2
EG10074,b3389,3515419,3516508,EG10074-MONOMER,,AROB-MONOMER,NC_000913.2
EG11234,b1692,1771812,1772679,EG11234-MONOMER,,CPLX0-7462,NC_000913.2
EG10078,b2601,2738101,2739172,EG10078-MONOMER,,AROF-CPLX,NC_000913.2
EG10075,b2329,2444409,2445495,EG10075-MONOMER,,AROC-CPLX,NC_000913.2
G6236,b0419,436384,437359,G6236-MONOMER,,G6236-MONOMER,NC_000913.2
EG10081,b3390,3516564,3517086,EG10081-MONOMER,,AROK-MONOMER,NC_000913.2
EG10611,b2113,2191080,2192190,EG10611-MONOMER,,EG10611-MONOMER,NC_000913.2
EG10076,b1693,1772709,1773468,EG10076-MONOMER,,AROD-CPLX,NC_000913.2
G7324,b2529,2657924,2658311,G7324-MONOMER,,G7324-MONOMER,NC_000913.2
EG11270,b3766,3948344,3948443,EG11270-MONOMER,,EG11270-MONOMER,NC_000913.2
EG11828,b3856,4038928,4039456,EG11828-MONOMER,,CPLX0-8044,NC_000913.2
EG10493,b3772,3953353,3954898,EG10493-MONOMER,,THREDEHYDSYN-CPLX,NC_000913.2
EG12211,b3459,3596006,3596390,EG12211-MONOMER,,MONOMER0-4437,NC_000913.2
EG10501,b3769,3950223,3950487,EG10501-MONOMER,,ACETOLACTSYNII-CPLX,NC_000913.2
EG10494,b3671,3849118,3850807,EG10494-MONOMER,,ACETOLACTSYNI-CPLX,NC_000913.2
EG11275,b3672,3850912,3851011,EG11275-MONOMER,,EG11275-MONOMER,NC_000913.2
EG10502,b3670,3848824,3849115,EG10502-MONOMER,,ACETOLACTSYNI-CPLX,NC_000913.2
EG10499,b0078,87356,87848,EG10499-MONOMER,,ACETOLACTSYNIII-CPLX,NC_000913.2
EG10495,b3774,3955992,3957468,EG10495-MONOMER,,CPLX0-7643,NC_000913.2
EG10500,b0077,85629,87354,EG10500-MONOMER,,ACETOLACTSYNIII-CPLX,NC_000913.2
