TU_id,replicon,genes,start,stop,tss,strand,rho_dependent,rnapol
TU490-1523_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_RS13590,SYNPCC7942_RS13590,1,963,,-,True,SYNPCC7942_0649-MONOMER
TU490-3888_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS03540,SYNPCC7942_RS03535",684051,685155,,-,True,SYNPCC7942_0649-MONOMER
TU490-5186_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08270,1687584,1689152,,-,True,SYNPCC7942_0649-MONOMER
TU490-5371_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS01595,311762,312274,,+,True,SYNPCC7942_0649-MONOMER
TU490-4071_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05070,996280,996723,,-,True,SYNPCC7942_0649-MONOMER
TU490-4256_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS06700,1337076,1338047,,+,True,SYNPCC7942_0649-MONOMER
TU490-4436_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS08145,SYNPCC7942_RS08140,SYNPCC7942_RS08135",1660025,1662753,,+,True,SYNPCC7942_0649-MONOMER
TU490-4621_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09675,1984647,1985081,,-,True,SYNPCC7942_0649-MONOMER
TU490-4805_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS11165,SYNPCC7942_RS11160",2275683,2277930,,+,True,SYNPCC7942_0649-MONOMER
TU490-3687_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS01770,340698,341768,,-,True,SYNPCC7942_0649-MONOMER
TU490-5170_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_1757,SYNPCC7942_1757,1,288,,+,True,SYNPCC7942_0649-MONOMER
TU490-4055_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS04925,965726,966355,,-,True,SYNPCC7942_0649-MONOMER
TU490-4420_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08005,1625702,1626019,,-,True,SYNPCC7942_0649-MONOMER
TU490-4789_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS11060,2255951,2257096,,-,True,SYNPCC7942_0649-MONOMER
TU490-3671_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS01655,322093,322296,,-,True,SYNPCC7942_0649-MONOMER
TU490-5154_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09580,1961987,1963582,,-,True,SYNPCC7942_0649-MONOMER
TU490-4039_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS04770,SYNPCC7942_RS04765",932734,934746,,+,True,SYNPCC7942_0649-MONOMER
TU490-4404_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS07865,SYNPCC7942_RS07870",1598656,1600381,,-,True,SYNPCC7942_0649-MONOMER
TU490-4772_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS10920,2231897,2232757,,+,True,SYNPCC7942_0649-MONOMER
TU490-3655_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS01515,294863,296713,,+,True,SYNPCC7942_0649-MONOMER
TU490-5138_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_2050,SYNPCC7942_2050,1,1464,,+,True,SYNPCC7942_0649-MONOMER
TU490-4023_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS04660,914613,915158,,+,True,SYNPCC7942_0649-MONOMER
TU490-4388_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07770,1572486,1572782,,+,True,SYNPCC7942_0649-MONOMER
TU490-4756_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS10755,SYNPCC7942_RS10750",2201698,2202509,,-,True,SYNPCC7942_0649-MONOMER
TU490-3639_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS01370,SYNPCC7942_RS01365",264482,265857,,-,True,SYNPCC7942_0649-MONOMER
TU490-5122_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS10805,2209183,2211255,,-,True,SYNPCC7942_0649-MONOMER
TU490-4007_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS04530,SYNPCC7942_RS04525",883997,886892,,+,True,SYNPCC7942_0649-MONOMER
TU490-4372_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS07630,SYNPCC7942_RS07625",1543938,1545353,,+,True,SYNPCC7942_0649-MONOMER
TU490-4740_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS10610,2174870,2176162,,+,True,SYNPCC7942_0649-MONOMER
TU490-3623_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS01200,232018,232557,,+,True,SYNPCC7942_0649-MONOMER
TU490-5106_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS11510,2333329,2334624,,+,True,SYNPCC7942_0649-MONOMER
TU490-3991_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS04400,848870,850105,,+,True,SYNPCC7942_0649-MONOMER
TU490-4356_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07470,1512321,1512578,,-,True,SYNPCC7942_0649-MONOMER
TU490-4724_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_2065,SYNPCC7942_2065,1,255,,-,True,SYNPCC7942_0649-MONOMER
TU490-3607_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS01090,217424,217813,,-,True,SYNPCC7942_0649-MONOMER
TU490-5090_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS11920,2413341,2414141,,+,True,SYNPCC7942_0649-MONOMER
TU490-3975_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS04280,822873,823241,,-,True,SYNPCC7942_0649-MONOMER
TU490-4340_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07360,1492429,1494030,,-,True,SYNPCC7942_0649-MONOMER
TU490-4708_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS10350,2109423,2110133,,-,True,SYNPCC7942_0649-MONOMER
TU490-3591_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS00925,180156,180881,,-,True,SYNPCC7942_0649-MONOMER
TU490-5074_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS12690,2581939,2583003,,+,True,SYNPCC7942_0649-MONOMER
TU490-3959_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS04135,SYNPCC7942_RS04130",792319,794384,,-,True,SYNPCC7942_0649-MONOMER
TU490-4324_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07235,1465709,1466434,,-,True,SYNPCC7942_0649-MONOMER
TU490-4692_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS10220,SYNPCC7942_RS10215,SYNPCC7942_RS10210",2082726,2084685,,-,True,SYNPCC7942_0649-MONOMER
TU490-3575_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS00785,SYNPCC7942_RS00780",156340,157184,,+,True,SYNPCC7942_0649-MONOMER
TU490-5058_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS13085,2654280,2655104,,+,True,SYNPCC7942_0649-MONOMER
TU490-3943_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS04045,772585,773958,,-,True,SYNPCC7942_0649-MONOMER
TU490-5480_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS05370,SYNPCC7942_RS05375",1060318,1061382,,+,True,SYNPCC7942_0649-MONOMER
TU490-4308_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07090,1431285,1431506,,-,True,SYNPCC7942_0649-MONOMER
TU490-4676_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS10095,2061920,2062321,,-,True,SYNPCC7942_0649-MONOMER
TU490-5042_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS13250,2682899,2683813,,-,True,SYNPCC7942_0649-MONOMER
TU490-3927_from_SYNPCC7942_0649-MONOMER,"SYNPCC7942_0758,SYNPCC7942_0757","SYNPCC7942_0758,SYNPCC7942_0757",1,681,,+,True,SYNPCC7942_0649-MONOMER
TU490-5410_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS00175,34357,35115,,-,True,SYNPCC7942_0649-MONOMER
TU490-4292_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS06975,1402687,1403103,,+,True,SYNPCC7942_0649-MONOMER
TU490-4660_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS09975,SYNPCC7942_RS09970",2035730,2037670,,+,True,SYNPCC7942_0649-MONOMER
TU490-5026_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS13080,SYNPCC7942_RS13075",2652516,2654102,,-,True,SYNPCC7942_0649-MONOMER
TU490-3911_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS03730,715943,717025,,-,True,SYNPCC7942_0649-MONOMER
TU490-5394_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS00750,148646,150190,,+,True,SYNPCC7942_0649-MONOMER
TU490-4279_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS06855,1374756,1375841,,+,True,SYNPCC7942_0649-MONOMER
TU490-4644_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09870,2019498,2021429,,-,True,SYNPCC7942_0649-MONOMER
TU490-3895_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS03580,691085,691378,,+,True,SYNPCC7942_0649-MONOMER
TU490-5378_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS01310,254096,254845,,-,True,SYNPCC7942_0649-MONOMER
TU490-4263_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS06745,1348834,1349373,,+,True,SYNPCC7942_0649-MONOMER
TU490-4628_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09735,1993521,1994600,,+,True,SYNPCC7942_0649-MONOMER
TU490-4997_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS12785,SYNPCC7942_RS12780",2597031,2599148,,-,True,SYNPCC7942_0649-MONOMER
TU490-3879_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS03450,669272,670300,,+,True,SYNPCC7942_0649-MONOMER
TU490-5362_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS02010,387354,388220,,-,True,SYNPCC7942_0649-MONOMER
TU490-4247_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS06630,1321898,1322593,,+,True,SYNPCC7942_0649-MONOMER
TU490-4612_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09585,1963748,1964254,,+,True,SYNPCC7942_0649-MONOMER
TU490-4981_from_SYNPCC7942_0649-MONOMER,"SYNPCC7942_2486,SYNPCC7942_2485","SYNPCC7942_2486,SYNPCC7942_2485",1,1581,,-,True,SYNPCC7942_0649-MONOMER
TU490-3863_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS03320,641196,641738,,+,True,SYNPCC7942_0649-MONOMER
TU490-5346_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS02485,474316,475644,,+,True,SYNPCC7942_0649-MONOMER
TU490-4231_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS06480,1289545,1290258,,-,True,SYNPCC7942_0649-MONOMER
TU490-4596_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09440,1931340,1932569,,-,True,SYNPCC7942_0649-MONOMER
TU490-4965_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS12520,SYNPCC7942_RS12515",2542826,2545371,,-,True,SYNPCC7942_0649-MONOMER
TU490-3847_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS03210,618362,620221,,+,True,SYNPCC7942_0649-MONOMER
TU490-5330_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS03055,583502,584428,,+,True,SYNPCC7942_0649-MONOMER
TU490-4215_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS06345,SYNPCC7942_RS06340,SYNPCC7942_RS06335",1258144,1261811,,-,True,SYNPCC7942_0649-MONOMER
TU490-4580_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09295,1901152,1901601,,-,True,SYNPCC7942_0649-MONOMER
TU490-4949_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS12415,SYNPCC7942_RS12410",2518698,2520541,,-,True,SYNPCC7942_0649-MONOMER
TU490-3831_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_RS03085,SYNPCC7942_RS03085,1,261,,-,True,SYNPCC7942_0649-MONOMER
TU490-5314_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS03645,701604,704897,,+,True,SYNPCC7942_0649-MONOMER
TU490-4199_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS06205,SYNPCC7942_RS06200,SYNPCC7942_RS06195,SYNPCC7942_RS06190",1234970,1236090,,-,True,SYNPCC7942_0649-MONOMER
TU490-4564_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09170,1874474,1875253,,-,True,SYNPCC7942_0649-MONOMER
TU490-4933_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS12290,2491630,2492154,,+,True,SYNPCC7942_0649-MONOMER
TU490-3815_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS02950,560720,562537,,-,True,SYNPCC7942_0649-MONOMER
TU490-3565_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS00670,132721,133770,,-,True,SYNPCC7942_0649-MONOMER
TU490-5298_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS04645,909780,910676,,+,True,SYNPCC7942_0649-MONOMER
TU490-4183_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS06065,SYNPCC7942_RS06060",1213471,1215141,,+,True,SYNPCC7942_0649-MONOMER
TU490-4548_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09060,1849303,1852170,,+,True,SYNPCC7942_0649-MONOMER
TU490-4917_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS12195,2474159,2475316,,-,True,SYNPCC7942_0649-MONOMER
TU490-3799_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS02810,534067,535185,,+,True,SYNPCC7942_0649-MONOMER
TU490-3549_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS00565,110012,111607,,+,True,SYNPCC7942_0649-MONOMER
TU490-5282_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05120,1005256,1005432,,-,True,SYNPCC7942_0649-MONOMER
TU490-4167_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_RS05905,SYNPCC7942_RS05905,1,1008,,-,True,SYNPCC7942_0649-MONOMER
TU490-4532_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08950,1827926,1829530,,+,True,SYNPCC7942_0649-MONOMER
TU490-4901_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS12080,SYNPCC7942_RS12075,SYNPCC7942_RS12070,SYNPCC7942_RS12065",2441447,2445167,,+,True,SYNPCC7942_0649-MONOMER
TU490-3783_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS02670,SYNPCC7942_RS02665",508795,510332,,-,True,SYNPCC7942_0649-MONOMER
TU490-3533_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS00430,SYNPCC7942_RS00425,SYNPCC7942_RS00420",82179,86475,,-,True,SYNPCC7942_0649-MONOMER
TU490-5266_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05600,1108372,1109535,,+,True,SYNPCC7942_0649-MONOMER
TU490-4151_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05790,1151398,1151619,,+,True,SYNPCC7942_0649-MONOMER
TU490-4516_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08825,1804395,1804757,,+,True,SYNPCC7942_0649-MONOMER
TU490-4885_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS11905,2411023,2411139,,-,True,SYNPCC7942_0649-MONOMER
TU490-3767_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_RS02500,SYNPCC7942_RS02500,1,138,,+,True,SYNPCC7942_0649-MONOMER
TU490-3517_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS00265,55204,56352,,-,True,SYNPCC7942_0649-MONOMER
TU490-5250_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS06260,1242925,1243809,,+,True,SYNPCC7942_0649-MONOMER
TU490-4135_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05675,1124289,1125089,,-,True,SYNPCC7942_0649-MONOMER
TU490-4500_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08675,1772024,1772833,,+,True,SYNPCC7942_0649-MONOMER
TU490-4869_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS11765,2383296,2383607,,-,True,SYNPCC7942_0649-MONOMER
TU490-3751_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS02360,SYNPCC7942_RS02355",449370,450448,,-,True,SYNPCC7942_0649-MONOMER
TU490-3501_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS00120,SYNPCC7942_RS00115,SYNPCC7942_RS00110",21134,24121,,-,True,SYNPCC7942_0649-MONOMER
TU490-5234_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS06770,1352829,1355588,,-,True,SYNPCC7942_0649-MONOMER
TU490-4119_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05525,1087327,1087638,,+,True,SYNPCC7942_0649-MONOMER
TU490-4484_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS08550,SYNPCC7942_RS08545,SYNPCC7942_RS08540",1744816,1747069,,-,True,SYNPCC7942_0649-MONOMER
TU490-4853_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS11645,SYNPCC7942_RS11640,SYNPCC7942_RS11635,SYNPCC7942_RS11630",2358162,2361251,,-,True,SYNPCC7942_0649-MONOMER
TU490-3735_from_SYNPCC7942_0649-MONOMER,"SYNPCC7942_0438,NC_007604.1","SYNPCC7942_0438,SYNPCC7942_RS02240",1,428029,,+,True,SYNPCC7942_0649-MONOMER
TU490-3485_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_RS13535,SYNPCC7942_RS13535,1,432,,-,True,SYNPCC7942_0649-MONOMER
TU490-5218_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07325,1485025,1486710,,-,True,SYNPCC7942_0649-MONOMER
TU490-4103_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05385,1062357,1063226,,+,True,SYNPCC7942_0649-MONOMER
TU490-4100_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05370,1060318,1060839,,+,True,SYNPCC7942_0649-MONOMER
TU490-4465_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08385,1711969,1712817,,+,True,SYNPCC7942_0649-MONOMER
TU490-4834_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS11460,2323399,2324757,,-,True,SYNPCC7942_0649-MONOMER
TU490-3716_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS02030,392990,393448,,+,True,SYNPCC7942_0649-MONOMER
TU490-1536_from_SYNPCC7942_0649-MONOMER,"SYNPCC7942_RS13430,SYNPCC7942_RS13425","SYNPCC7942_RS13430,SYNPCC7942_RS13425",1,1527,,+,True,SYNPCC7942_0649-MONOMER
TU490-5199_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07940,1613464,1614396,,-,True,SYNPCC7942_0649-MONOMER
TU490-4084_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05160,1017044,1018123,,+,True,SYNPCC7942_0649-MONOMER
TU490-4449_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08290,1693698,1694921,,-,True,SYNPCC7942_0649-MONOMER
TU490-4818_from_SYNPCC7942_0649-MONOMER,SYNPCC7942_RS11340,SYNPCC7942_RS11340,1,318,,-,True,SYNPCC7942_0649-MONOMER
TU490-3700_from_SYNPCC7942_0649-MONOMER,"SYNPCC7942_0372,NC_007604.1,NC_007604.1","SYNPCC7942_0372,SYNPCC7942_RS01890,SYNPCC7942_RS01885",1,366015,,+,True,SYNPCC7942_0649-MONOMER
TU490-5183_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08415,1717707,1720946,,-,True,SYNPCC7942_0649-MONOMER
TU490-4068_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS05040,989800,991494,,-,True,SYNPCC7942_0649-MONOMER
TU490-4433_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS08110,1653255,1655834,,-,True,SYNPCC7942_0649-MONOMER
TU490-4802_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS11140,2270973,2272655,,-,True,SYNPCC7942_0649-MONOMER
TU490-3684_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS01760,338536,339306,,-,True,SYNPCC7942_0649-MONOMER
TU490-5167_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09100,1861831,1863066,,-,True,SYNPCC7942_0649-MONOMER
TU490-4052_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS04905,962266,963240,,-,True,SYNPCC7942_0649-MONOMER
TU490-4417_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07970,1618800,1619696,,-,True,SYNPCC7942_0649-MONOMER
TU490-4785_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS11015,2248016,2248468,,-,True,SYNPCC7942_0649-MONOMER
TU490-3668_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS01630,SYNPCC7942_RS01625",316162,318008,,+,True,SYNPCC7942_0649-MONOMER
TU490-5151_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS09750,1998203,1998655,,+,True,SYNPCC7942_0649-MONOMER
TU490-4036_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1,NC_007604.1","SYNPCC7942_RS04750,SYNPCC7942_RS04745,SYNPCC7942_RS04740",927092,929168,,-,True,SYNPCC7942_0649-MONOMER
TU490-4401_from_SYNPCC7942_0649-MONOMER,NC_007604.1,SYNPCC7942_RS07860,1597001,1597366,,+,True,SYNPCC7942_0649-MONOMER
TU490-4769_from_SYNPCC7942_0649-MONOMER,"NC_007604.1,NC_007604.1","SYNPCC7942_RS10895,SYNPCC7942_RS10890",2228529,2229910,,-,True,SYNPCC7942_0649-MONOMER
